year,sex,n,n_miss,age_mean,age_sd,cod
0,All,44915066,4234,72.68734593917115,18.65843601033299,all_deaths
0,F,22569507,1022,76.23823965144318,17.585348071520002,all_deaths
0,M,22345559,3212,69.1005118665465,19.02161465719207,all_deaths
1999,All,2391399,356,72.36772529812303,18.70019104915118,all_deaths
1999,F,1215939,79,76.00855690622275,17.537582480326837,all_deaths
1999,M,1175460,277,68.60087237477057,19.11497789453937,all_deaths
2e3,All,2403351,356,72.39820224345037,18.736689151428028,all_deaths
2e3,F,1225773,67,76.0586975995875,17.527072427782567,all_deaths
2e3,M,1177578,289,68.58716593801522,19.190069445841107,all_deaths
2001,All,2416425,422,72.3429619085738,18.803102823166853,all_deaths
2001,F,1233004,91,76.03179867517011,17.5782971888135,all_deaths
2001,M,1183421,331,68.49877862208285,19.262277365991068,all_deaths
2002,All,2443387,357,72.39516297384804,18.837974026535026,all_deaths
2002,F,1244123,75,76.08139476933366,17.61708598737844,all_deaths
2002,M,1199264,282,68.5703772033275,19.295645948242406,all_deaths
2003,All,2448288,342,72.38160073792477,18.837002723302668,all_deaths
2003,F,1246324,71,76.09100399357114,17.613928936364392,all_deaths
2003,M,1201964,271,68.53464903265643,19.28728449139846,all_deaths
2004,All,2397615,346,72.28387510955174,18.899333274772438,all_deaths
2004,F,1215947,72,75.94526493266166,17.720876869023378,all_deaths
2004,M,1181668,274,68.51562137610314,19.32881731497191,all_deaths
2005,All,2448017,255,72.39338424242226,18.929673623435086,all_deaths
2005,F,1240342,56,76.1114065626799,17.706658521722527,all_deaths
2005,M,1207675,199,68.57433439670851,19.379697051091213,all_deaths
2006,All,2426264,220,72.28307153538847,19.017878321068068,all_deaths
2006,F,1224322,49,75.99792856658604,17.826012520588794,all_deaths
2006,M,1201942,171,68.49865739812327,19.443117739957923,all_deaths
2007,All,2423712,201,72.34952348060314,19.0341578308633,all_deaths
2007,F,1219744,45,76.0338304778474,17.883572949388057,all_deaths
2007,M,1203968,156,68.61659378706975,19.43319278056883,all_deaths
