"race";"opioid_type";"abbrev";"Test #";"Null Hypothesis";"Alt Hypothesis";"Selected Hypothesis";"Numerator DF";"Denominator DF";"# of Permutations";"P-Value";"Significance level"
"total";"heroin";"AL";0;0;3;3;   6;  10;10001;       0.0127987;       0.0166667
"total";"heroin";"AL";1;1;3;3;   4;  10;10001;       0.0042996;       0.0250000
"total";"heroin";"AL";2;2;3;2;   2;  10;10001;       0.3643636;       0.0500000
"total";"heroin";"AK";0;0;3;0;   6;  10;10001;       0.0670933;       0.0166667
"total";"heroin";"AK";1;0;2;0;   4;  12;10001;       0.0344966;       0.0166667
"total";"heroin";"AK";2;0;1;0;   2;  14;10001;       0.0207979;       0.0166667
"total";"heroin";"AZ";0;0;3;0;   6;  10;10001;       0.1156884;       0.0166667
"total";"heroin";"AZ";1;0;2;0;   4;  12;10001;       0.0940906;       0.0166667
"total";"heroin";"AZ";2;0;1;0;   2;  14;10001;       0.0900910;       0.0166667
"total";"heroin";"AR";0;0;3;0;   6;  10;10001;       0.0501950;       0.0166667
"total";"heroin";"AR";1;0;2;0;   4;  12;10001;       0.0623938;       0.0166667
"total";"heroin";"AR";2;0;1;0;   2;  14;10001;       0.0205979;       0.0166667
"total";"heroin";"CA";0;0;3;3;   6;  10;10001;       0.0025997;       0.0166667
"total";"heroin";"CA";1;1;3;1;   4;  10;10001;       0.3454655;       0.0250000
"total";"heroin";"CA";2;1;2;1;   2;  12;10001;       0.3166683;       0.0250000
"total";"heroin";"CO";0;0;3;3;   6;  10;10001;       0.0025997;       0.0166667
"total";"heroin";"CO";1;1;3;1;   4;  10;10001;       0.4181582;       0.0250000
"total";"heroin";"CO";2;1;2;1;   2;  12;10001;       0.3074693;       0.0250000
"total";"heroin";"CT";0;0;3;3;   6;  10;10001;       0.0001000;       0.0166667
"total";"heroin";"CT";1;1;3;1;   4;  10;10001;       0.0672933;       0.0250000
"total";"heroin";"CT";2;1;2;1;   2;  12;10001;       0.0691931;       0.0250000
"total";"heroin";"DE";0;0;3;3;   6;  10;10001;       0.0010999;       0.0166667
"total";"heroin";"DE";1;1;3;1;   4;  10;10001;       0.0398960;       0.0250000
"total";"heroin";"DE";2;1;2;1;   2;  12;10001;       0.0463954;       0.0250000
"total";"heroin";"DC";0;0;3;3;   6;  10;10001;       0.0005000;       0.0166667
"total";"heroin";"DC";1;1;3;1;   4;  10;10001;       0.1669833;       0.0250000
"total";"heroin";"DC";2;1;2;1;   2;  12;10001;       0.1727827;       0.0250000
"total";"heroin";"FL";0;0;3;3;   6;  10;10001;       0.0001000;       0.0166667
"total";"heroin";"FL";1;1;3;3;   4;  10;10001;       0.0107989;       0.0250000
"total";"heroin";"FL";2;2;3;3;   2;  10;10001;       0.0437956;       0.0500000
"total";"heroin";"GA";0;0;3;0;   6;  10;10001;       0.0195980;       0.0166667
"total";"heroin";"GA";1;0;2;2;   4;  12;10001;       0.0092991;       0.0166667
"total";"heroin";"GA";2;1;2;2;   2;  12;10001;       0.0191981;       0.0250000
"total";"heroin";"HI";0;0;3;3;   6;  10;10001;       0.0041996;       0.0166667
"total";"heroin";"HI";1;1;3;1;   4;  10;10001;       0.3171683;       0.0250000
"total";"heroin";"HI";2;1;2;1;   2;  12;10001;       0.1128887;       0.0250000
"total";"heroin";"ID";0;0;3;3;   6;  10;10001;       0.0005000;       0.0166667
"total";"heroin";"ID";1;1;3;1;   4;  10;10001;       0.2141786;       0.0250000
"total";"heroin";"ID";2;1;2;1;   2;  12;10001;       0.1667833;       0.0250000
"total";"heroin";"IL";0;0;3;3;   6;  10;10001;       0.0007999;       0.0166667
"total";"heroin";"IL";1;1;3;3;   4;  10;10001;       0.0178982;       0.0250000
"total";"heroin";"IL";2;2;3;2;   2;  10;10001;       0.2313769;       0.0500000
"total";"heroin";"IN";0;0;3;0;   6;  10;10001;       0.3581642;       0.0166667
"total";"heroin";"IN";1;0;2;0;   4;  12;10001;       0.3085691;       0.0166667
"total";"heroin";"IN";2;0;1;0;   2;  14;10001;       0.8098190;       0.0166667
"total";"heroin";"IA";0;0;3;0;   6;  10;10001;       0.1364864;       0.0166667
"total";"heroin";"IA";1;0;2;0;   4;  12;10001;       0.0465953;       0.0166667
"total";"heroin";"IA";2;0;1;0;   2;  14;10001;       0.0875912;       0.0166667
"total";"heroin";"KS";0;0;3;0;   6;  10;10001;       0.0327967;       0.0166667
"total";"heroin";"KS";1;0;2;0;   4;  12;10001;       0.1469853;       0.0166667
"total";"heroin";"KS";2;0;1;0;   2;  14;10001;       0.5691431;       0.0166667
"total";"heroin";"KY";0;0;3;3;   6;  10;10001;       0.0003000;       0.0166667
"total";"heroin";"KY";1;1;3;3;   4;  10;10001;       0.0038996;       0.0250000
"total";"heroin";"KY";2;2;3;2;   2;  10;10001;       0.7685231;       0.0500000
"total";"heroin";"LA";0;0;3;3;   6;  10;10001;       0.0120988;       0.0166667
"total";"heroin";"LA";1;1;3;3;   4;  10;10001;       0.0026997;       0.0250000
"total";"heroin";"LA";2;2;3;2;   2;  10;10001;       0.2691731;       0.0500000
"total";"heroin";"ME";0;0;3;3;   6;  10;10001;       0.0059994;       0.0166667
"total";"heroin";"ME";1;1;3;1;   4;  10;10001;       0.0345965;       0.0250000
"total";"heroin";"ME";2;1;2;1;   2;  12;10001;       0.0306969;       0.0250000
"total";"heroin";"MD";0;0;3;3;   6;  10;10001;       0.0002000;       0.0166667
"total";"heroin";"MD";1;1;3;3;   4;  10;10001;       0.0012999;       0.0250000
"total";"heroin";"MD";2;2;3;2;   2;  10;10001;       0.4191581;       0.0500000
"total";"heroin";"MA";0;0;3;0;   6;  10;10001;       0.0437956;       0.0166667
"total";"heroin";"MA";1;0;2;2;   4;  12;10001;       0.0164984;       0.0166667
"total";"heroin";"MA";2;1;2;2;   2;  12;10001;       0.0187981;       0.0250000
"total";"heroin";"MI";0;0;3;0;   6;  10;10001;       0.4786521;       0.0166667
"total";"heroin";"MI";1;0;2;0;   4;  12;10001;       0.3992601;       0.0166667
"total";"heroin";"MI";2;0;1;0;   2;  14;10001;       0.1382862;       0.0166667
"total";"heroin";"MN";0;0;3;3;   6;  10;10001;       0.0055994;       0.0166667
"total";"heroin";"MN";1;1;3;3;   4;  10;10001;       0.0053995;       0.0250000
"total";"heroin";"MN";2;2;3;2;   2;  10;10001;       0.2570743;       0.0500000
"total";"heroin";"MS";0;0;3;0;   6;  10;10001;       0.0355964;       0.0166667
"total";"heroin";"MS";1;0;2;0;   4;  12;10001;       0.0308969;       0.0166667
"total";"heroin";"MS";2;0;1;1;   2;  14;10001;       0.0109989;       0.0166667
"total";"heroin";"MO";0;0;3;0;   6;  10;10001;       0.0206979;       0.0166667
"total";"heroin";"MO";1;0;2;2;   4;  12;10001;       0.0085991;       0.0166667
"total";"heroin";"MO";2;1;2;2;   2;  12;10001;       0.0077992;       0.0250000
"total";"heroin";"MT";0;0;3;0;   6;  10;10001;       0.0227977;       0.0166667
"total";"heroin";"MT";1;0;2;2;   4;  12;10001;       0.0093991;       0.0166667
"total";"heroin";"MT";2;1;2;1;   2;  12;10001;       0.1248875;       0.0250000
"total";"heroin";"NE";0;0;3;0;   6;  10;10001;       0.0369963;       0.0166667
"total";"heroin";"NE";1;0;2;0;   4;  12;10001;       0.0271973;       0.0166667
"total";"heroin";"NE";2;0;1;0;   2;  14;10001;       0.0169983;       0.0166667
"total";"heroin";"NV";0;0;3;3;   6;  10;10001;       0.0011999;       0.0166667
"total";"heroin";"NV";1;1;3;1;   4;  10;10001;       0.3369663;       0.0250000
"total";"heroin";"NV";2;1;2;1;   2;  12;10001;       0.5733427;       0.0250000
"total";"heroin";"NH";0;0;3;3;   6;  10;10001;       0.0136986;       0.0166667
"total";"heroin";"NH";1;1;3;1;   4;  10;10001;       0.7692231;       0.0250000
"total";"heroin";"NH";2;1;2;1;   2;  12;10001;       0.5473453;       0.0250000
"total";"heroin";"NJ";0;0;3;3;   6;  10;10001;       0.0001000;       0.0166667
"total";"heroin";"NJ";1;1;3;1;   4;  10;10001;       0.2995700;       0.0250000
"total";"heroin";"NJ";2;1;2;1;   2;  12;10001;       0.5124488;       0.0250000
"total";"heroin";"NM";0;0;3;0;   6;  10;10001;       0.3293671;       0.0166667
